perfil,papelNoProjeto,vinculoComAtividade,passoQueDecidiu,escopoDeLeitura,canView,canComment,canEditExecucao,canEditPlanejamento,canAssign,canPromover,canAssumir,canDelete,canManageTeam
admin,dono_gestor,nenhum,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,dono_gestor,participante,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,dono_gestor,responsavel,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_excluir,nenhum,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_excluir,participante,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_excluir,responsavel,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_tudo,nenhum,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_tudo,participante,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_tudo,responsavel,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_minhas,nenhum,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_minhas,participante,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,editar_minhas,responsavel,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,ver_comentar,nenhum,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,ver_comentar,participante,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,ver_comentar,responsavel,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,fora_da_equipe,nenhum,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,fora_da_equipe,participante,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
admin,fora_da_equipe,responsavel,1-admin,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
gestor,dono_gestor,nenhum,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
gestor,dono_gestor,participante,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
gestor,dono_gestor,responsavel,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
gestor,editar_excluir,nenhum,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
gestor,editar_excluir,participante,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
gestor,editar_excluir,responsavel,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
gestor,editar_tudo,nenhum,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
gestor,editar_tudo,participante,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
gestor,editar_tudo,responsavel,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
gestor,editar_minhas,nenhum,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,nao,nao,nao,nao,sim,nao,nao
gestor,editar_minhas,participante,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,nao,nao,sim,nao,nao
gestor,editar_minhas,responsavel,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,sim,nao,sim,nao,nao
gestor,ver_comentar,nenhum,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
gestor,ver_comentar,participante,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
gestor,ver_comentar,responsavel,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
gestor,fora_da_equipe,nenhum,6-sem-acesso,nenhum,nao,nao,nao,nao,nao,nao,nao,nao,nao
gestor,fora_da_equipe,participante,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
gestor,fora_da_equipe,responsavel,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
coordenador,dono_gestor,nenhum,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
coordenador,dono_gestor,participante,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
coordenador,dono_gestor,responsavel,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
coordenador,editar_excluir,nenhum,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
coordenador,editar_excluir,participante,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
coordenador,editar_excluir,responsavel,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
coordenador,editar_tudo,nenhum,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
coordenador,editar_tudo,participante,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
coordenador,editar_tudo,responsavel,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
coordenador,editar_minhas,nenhum,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,nao,nao,nao,nao,sim,nao,nao
coordenador,editar_minhas,participante,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,nao,nao,sim,nao,nao
coordenador,editar_minhas,responsavel,4-equipe-editar-apenas-as-minhas,projeto,sim,sim,sim,sim,sim,nao,sim,nao,nao
coordenador,ver_comentar,nenhum,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
coordenador,ver_comentar,participante,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
coordenador,ver_comentar,responsavel,4-equipe-visualizar-e-comentar,projeto,sim,sim,nao,nao,nao,nao,nao,nao,nao
coordenador,fora_da_equipe,nenhum,6-sem-acesso,nenhum,nao,nao,nao,nao,nao,nao,nao,nao,nao
coordenador,fora_da_equipe,participante,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
coordenador,fora_da_equipe,responsavel,5-ator-da-atividade,atividade_e_trilha,sim,sim,sim,nao,nao,nao,nao,nao,nao
colaborador,dono_gestor,nenhum,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
colaborador,dono_gestor,participante,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
colaborador,dono_gestor,responsavel,3-dono-gestor-do-projeto,projeto,sim,sim,sim,sim,sim,sim,sim,sim,sim
colaborador,editar_excluir,nenhum,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
colaborador,editar_excluir,participante,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
colaborador,editar_excluir,responsavel,4-equipe-editar-e-excluir,projeto,sim,sim,sim,sim,sim,sim,sim,sim,nao
colaborador,editar_tudo,nenhum,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
colaborador,editar_tudo,participante,4-equipe-editar-tudo,projeto,sim,sim,sim,sim,sim,sim,sim,nao,nao
