classificacao,id,projeto,wbs_code,nome,item_type,sombra,filhas,filhas_no_quadro,coluna,papel_exibido
ALVO-preso,009775c7-a889-47c0-8396-37ecf5e47dc1,Estruturação do Gerenciamento de Projetos,2.1.5,Treinamento com Juliana Palacio (Posto de Enfermagem),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,01660b57-5642-4049-8512-f252cc8fe1a6,Revitalização do GLPI,2.1,Simulação do Ambiente em base teste,fase,atividade,0,0,Concluída,fase
ALVO-preso,042d6c15-609c-428e-be96-5b73c17d9e36,Estruturação do Gerenciamento de Projetos,1.2.9,Pesquisa com Albertina Proença (Rh),fase,fase,0,0,Concluída,entrega
ALVO-preso,0b22bddd-66a0-4e09-8c4d-15f63a7ca413,Estruturação do Gerenciamento de Projetos,2.1.3,Treinamento com Renata Ferreira (Comercial Particular),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,0b417297-60fd-41e9-bcae-2bd5963305b0,Projeto Escritório de Processos,2.1.3,Definir as ondas de mapeamento (críticos primeiro),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,0d06de54-8218-44fd-a235-b690a0893693,Projeto Escritório de Processos,2.1.5,Identificar o dono e o executor de cada processo,fase,fase,0,0,Em Andamento,entrega
ALVO-preso,1d6cbcfe-acc4-437c-886e-263d650c08d0,Estruturação do Gerenciamento de Projetos,1.1.1,Kick Off com Thayanne Matos (Marketing),fase,fase,0,0,Concluída,entrega
ALVO-preso,233dea3d-1ef3-4bc1-bfe0-96015cf29123,Estruturação do Gerenciamento de Projetos,1.3.3,Apresentação executiva,fase,fase,0,0,Concluída,entrega
ALVO-preso,295dc7b9-645c-4ff9-8f19-5ff4bae9c5f9,Estruturação do Gerenciamento de Projetos,1.1.2,Kick Off com Renata Ferreira (Comercial Particular),fase,fase,0,0,Concluída,entrega
ALVO-preso,2a19a014-876b-4dcf-b136-e30f3db7a339,Estruturação do Gerenciamento de Projetos,2.1.8,Treinamento com Felipe Cavalcanti (TI),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,2af09aa1-c5ae-4448-8b5b-963604456ef9,Guia Jornada do Paciente - Pronutrir Onboard,2.1.2,Definir e travar versões das dependências,fase,fase,0,0,Concluída,entrega
ALVO-preso,2c092a32-fe93-4fd3-9251-94224b8cbf64,Teste - Revitalização Tasy - 26/08/2026,1.1.3,Tasy Native,fase,fase,0,0,Em Andamento,entrega
ALVO-preso,2e58e6b5-ff0a-4ead-8aa8-bc608bf77d85,Guia Jornada do Paciente - Pronutrir Onboard,2.1.9,"Validar build, tipos e qualidade de código",fase,fase,0,0,Concluída,entrega
ALVO-preso,2f676953-dd9b-4c2b-9f28-6d8fcefebbf1,Revitalização do GLPI,4.4,Encerramento do Projeto,fase,atividade,0,0,Concluída,fase
ALVO-preso,2ffb4360-6c9b-403f-8d52-69447309d90f,Revitalização do GLPI,1.1,Instalação do GLPI (novo),fase,atividade,0,0,Concluída,fase
ALVO-preso,325c067e-aeee-4e12-b664-bd66ef0de732,Estruturação do Gerenciamento de Projetos,2.1.2,Treinamento com Thayanne Matos (Marketing),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,35b72681-5af7-412c-8561-73b5ef55197a,Teste - processos ,1.1.2,1.1.2 Reunião de Kickoff,fase,fase,0,0,Concluída,entrega
ALVO-preso,3d198128-6629-4925-a594-b7f69e54771f,Estruturação do Gerenciamento de Projetos,1.2.11,Pesquisa com Fábio Lima (Recepção),fase,fase,0,0,Concluída,entrega
ALVO-preso,3ff80b13-17a3-4653-9418-8cf4d1e441ad,Guia Jornada do Paciente - Pronutrir Onboard,1.3.4,Obter aprovação do termo de imagem e voz das gravações com Albertina Proença,fase,fase,0,0,Concluída,entrega
ALVO-preso,40b7cc84-f566-46db-b68a-dc17aa7232bb,Revitalização do GLPI,4.2,Acompanhamento pós produção,fase,atividade,0,0,Concluída,fase
ALVO-preso,46e0a3dd-9033-4184-837b-86de05391a5f,Estruturação do Gerenciamento de Projetos,1.1.5,Kick Off com Felipe Cavalcanti (TI),fase,fase,0,0,Concluída,entrega
ALVO-preso,46eeb672-6050-47c7-9b81-eea622505f35,Estruturação do Gerenciamento de Projetos,1.1.6,Kick Off com Fábio Lima (Recepção),fase,fase,0,0,Concluída,entrega
ALVO-preso,4771cb4f-c5a1-4125-96c7-50b9a8979135,Estruturação do Gerenciamento de Projetos,1.3.2,Relatório de maturidade,fase,fase,0,0,Concluída,entrega
ALVO-preso,49db6b11-1d69-4150-accc-34a4d69edd6f,Estruturação do Gerenciamento de Projetos,1.2.3,Pesquisa com Renata Ferreira (Comercial Particular),fase,fase,0,0,Concluída,entrega
ALVO-preso,4c3083a9-260f-41d6-8e7f-3147e8c59d21,Teste - Revitalização Tasy - 26/08/2026,1.1.2,Reunião de Kickoff,fase,fase,0,0,Em Andamento,entrega
ALVO-preso,4e29e019-c438-4b06-8857-41819cbe66b4,Teste - processos ,1.1.3,1.1.3 Tasy Native,fase,fase,0,0,Concluída,entrega
ALVO-preso,527cda82-2535-4608-ba4c-cf7fb7c6c5ed,Revitalização do GLPI,1.3,Configuração dos Setores e classificações,fase,atividade,0,0,Concluída,fase
ALVO-preso,52a6b631-e358-4509-bd3d-f8d32e5a3162,Projeto Escritório de Processos,2.1.2,Classificar os setores por criticidade operacional,fase,fase,0,0,Em Andamento,entrega
ALVO-preso,551d2a12-c1eb-4cb3-a560-94a4b44f041c,Estruturação do Gerenciamento de Projetos,1.2.5,Pesquisa com Juliana Palacio (Posto de Enfermagem),fase,fase,0,0,Concluída,entrega
ALVO-preso,57ed17a4-f659-4eda-8065-d7912a22b9ec,Estruturação do Gerenciamento de Projetos,1.1.9,Kick Off com Virginia Moreira (Pesquisa Clínica),fase,fase,0,0,Concluída,entrega
ALVO-preso,5c34b97b-386f-4437-9aa2-9c21c6240168,Revitalização do GLPI,1.2,Analisar as duas plataformas de IA da Pronutrir,fase,atividade,0,0,Concluída,fase
ALVO-preso,74de7ffe-63fb-4d81-b668-e6b4201adc08,Revitalização do GLPI,3.1,Planejar a Migração dos dados do GLPI atual (produção) para o GLPI novo,fase,atividade,0,0,Concluída,fase
ALVO-preso,75e00f18-30c6-435a-b629-deff95c2a37a,Estruturação do Gerenciamento de Projetos,1.1.4,Kick Off com Ana Paula (Contratos),fase,fase,0,0,Concluída,entrega
ALVO-preso,7877071f-a73a-4ca5-ad6b-27b70e5b4d0c,Projeto Escritório de Processos,2.1.6,Agendar as sessões com gestores e executores,fase,fase,0,0,Em Andamento,entrega
ALVO-preso,78ff79d0-caeb-4ebd-9659-8db17c559eed,Teste - Revitalização Tasy - 26/08/2026,1.1.1,Lançamento do Projeto,fase,fase,0,0,Não iniciado,entrega
ALVO-preso,7b1f3379-8476-40d3-86b8-919f9e4bc40d,Revitalização do GLPI,3.2,Efetuar Migração dos dados,fase,atividade,0,0,Concluída,fase
ALVO-preso,82413241-aa9c-49c8-b443-3da6f65b4acb,Estruturação do Gerenciamento de Projetos,2.1.1,Treinamento com Virginia Moreira (Pesquisa Clinica),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,8356fb33-2a71-40e4-b527-ca50b7fde7e1,Estruturação do Gerenciamento de Projetos,2.1.12,Treinamento Daniela Veras (Marketing - Estratégia),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,92833b62-6a6f-4699-bc0e-b8b2d8523eb6,Guia Jornada do Paciente - Pronutrir Onboard,2.1.7,Construir navegação inferior de 4 abas,fase,fase,0,0,Concluída,entrega
ALVO-preso,9399a783-4ff8-450f-ac36-fd75c17fdc71,Guia Jornada do Paciente - Pronutrir Onboard,2.1.4,Criar design system tokenizado,fase,fase,0,0,Concluída,entrega
ALVO-preso,97912db5-52a6-4378-8dde-33f75bc18eeb,Estruturação do Gerenciamento de Projetos,1.2.8,Pesquisa com Felipe Cavalcanti (TI),fase,fase,0,0,Concluída,entrega
ALVO-preso,980dc376-b97c-4bf0-b6c9-6f17ff6bb2c7,Teste - processos ,1.1.1,1.1.1 Lançamento do Projeto,fase,fase,0,0,Concluída,entrega
ALVO-preso,99368928-4cfc-47d4-bbb3-7b8f675d8a63,Estruturação do Gerenciamento de Projetos,1.1.3,Kick Off com Rochelle Peregrino (Financeiro),fase,fase,0,0,Concluída,entrega
ALVO-preso,9b47f263-7c48-4289-8f6f-79053af92bc0,Estruturação do Gerenciamento de Projetos,1.2.6,Pesquisa com Antonio Ventura (Compras),fase,fase,0,0,Concluída,entrega
ALVO-preso,9ed6bd4d-81d6-429f-baa8-9434328965c7,Estruturação do Gerenciamento de Projetos,1.1.11,Kick Off com Antonio Ventura (Compras),fase,fase,0,0,Concluída,entrega
ALVO-preso,9fdc1400-2d14-41b8-b49a-c33454ebcae1,Gestão e Execução de Atividades de TI,,PESQUISA ÚNICA DE TRATAMENTO,fase,fase,0,0,Concluída,entrega
ALVO-preso,a3c15c03-62b4-482e-b4f0-9c931a6bc96c,Guia Jornada do Paciente - Pronutrir Onboard,2.1.5,Documentar o design system para evolução,fase,fase,0,0,Concluída,entrega
ALVO-preso,aaa12f4f-34e6-4197-83ec-23feb3ddcff5,Estruturação do Gerenciamento de Projetos,1.3.1,Análise dos dados,fase,fase,0,0,Concluída,entrega
ALVO-preso,b3865c0d-0f21-412d-8af7-feb311ebdd12,Estruturação do Gerenciamento de Projetos,1.1.7,Kick Off com Juliana Ferreira (Rh),fase,fase,0,0,Concluída,entrega
ALVO-preso,b7500871-0d03-4c74-b3b9-a4983112e99e,Estruturação do Gerenciamento de Projetos,2.1.7,Treinamento com Ana Paula (Contratos),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,bb663efc-5820-4e0c-8d11-97c5c7dd5893,Estruturação do Gerenciamento de Projetos,1.2.7,Pesquisa com Ana Paula (Contratos),fase,fase,0,0,Concluída,entrega
ALVO-preso,c5feed07-4bfd-46f8-a3c7-d67b627b323e,Revitalização do GLPI,4.1,Go Live,fase,atividade,0,0,Concluída,fase
ALVO-preso,c930901c-8ca1-41ca-8d02-428093d468ba,Estruturação do Gerenciamento de Projetos,1.1.10,Kick Off com Juliana Palácio (Posto de Enfermagem),fase,fase,0,0,Concluída,entrega
ALVO-preso,cbb4c449-7d0c-4d16-b3ee-1a0801b0743b,Revitalização do GLPI,2.2,Ajustes e correções,fase,atividade,0,0,Concluída,fase
ALVO-preso,cef446c8-f83b-4034-b4a7-48a59c63552b,Guia Jornada do Paciente - Pronutrir Onboard,2.1.3,Extrair paleta e tipografia do app antigo,fase,fase,0,0,Concluída,entrega
ALVO-preso,d11cdd4a-7e3d-40eb-94a1-202e153331f8,Estruturação do Gerenciamento de Projetos,2.1.4,Treinamento com Rochelle Peregrino (Financeiro),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,dd756c09-ccaf-4e7e-8b7b-dbba5f8ce535,Guia Jornada do Paciente - Pronutrir Onboard,2.1.6,Construir cabeçalho do aplicativo,fase,fase,0,0,Concluída,entrega
ALVO-preso,e2d5670a-0958-4215-a5e8-839a18e3429c,Estruturação do Gerenciamento de Projetos,2.1.9,Treinamento com Albertina Proença (Rh),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,eda695bd-cdd3-4c47-9bc2-742a57dfeeb6,Estruturação do Gerenciamento de Projetos,1.2.2,Pesquisa com Thayanne Matos (Marketing),fase,fase,0,0,Concluída,entrega
ALVO-preso,eef4d4a0-d424-44dd-9948-411e20744699,Estruturação do Gerenciamento de Projetos,2.1.11,Treinamento Fábio Lima (Recepção),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,f02c5c0c-7b74-4f21-b5b1-617c736d0aa0,Revitalização do GLPI,3.3,Simulações Finais com dados migrados,fase,atividade,0,0,Concluída,fase
ALVO-preso,f0c28c04-8046-4458-86c2-01bba361993f,Estruturação do Gerenciamento de Projetos,2.1.6,Treinamento com Antonio Ventura (Compras),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,f26b6e31-3b7e-48da-a79b-7c8951d404be,Estruturação do Gerenciamento de Projetos,2.1.10,Treinamento com Juliana Ferreira (Rh),fase,fase,0,0,Em Andamento,entrega
ALVO-preso,f28e52f9-c433-4c7e-802c-d02ce3f19be7,Estruturação do Gerenciamento de Projetos,1.2.10,Pesquisa com Juliana Ferreira (Rh),fase,fase,0,0,Concluída,entrega
ALVO-preso,f58b529f-5973-4c9d-9e9f-0776fc671e20,Estruturação do Gerenciamento de Projetos,1.2.4,Pesquisa com Rochelle Peregrino (Financeiro),fase,fase,0,0,Concluída,entrega
ALVO-preso,f9d4d707-99c3-4481-9744-f0eeb0aa623a,Estruturação do Gerenciamento de Projetos,1.2.1,Pesquisa com Virginia Moreira (Pesquisa Clinica),fase,fase,0,0,Concluída,entrega
ALVO-preso,fb8f4b95-3591-49a0-95d0-96be4b41b78c,Guia Jornada do Paciente - Pronutrir Onboard,2.1.8,Criar as 11 rotas navegáveis,fase,fase,0,0,Concluída,entrega
ALVO-preso,fc2abd62-c937-48b7-9ad6-47e062dc5c7c,Estruturação do Gerenciamento de Projetos,1.1.8,Kick Off com Albertina Proença (Rh),fase,fase,0,0,Concluída,entrega
FAIXA-correto,038f67d4-20ed-44bd-bb1d-aea20b9b3236,Gestão de Processos Tasy - Oficial,1.2.1.15,Cadastro de transações financeiras,fase,fase,1,1,Em Andamento,entrega
FAIXA-correto,0477839d-1a18-4b99-a56b-4c906764720c,Gestão de Processos Tasy - Oficial,1.3.8.1.1.1,Instrução de trabalho,fase,fase,5,5,Em Andamento,entrega
FAIXA-correto,053e12b5-959f-431f-9970-92ddd6c9d19f,Projeto Escritório de Processos,2.1,Mapeamento preparado,fase,fase,6,5,Em Andamento,fase
FAIXA-correto,082b2e53-e793-4c5d-81e4-0c5d3e6d1c3e,Gestão de Processos Tasy - excluir,,IT - ATUALIZACAO DO BRASINDICE NO TASY,fase,fase,6,6,Em Andamento,entrega
FAIXA-correto,0a2057fe-b913-4c14-b55c-f0ca424dc333,Gestão de Processos Tasy - Oficial,1.3.2.1.1.2,Fluxogramas,fase,fase,1,1,Em Andamento,entrega
FAIXA-correto,0a64ebae-cb16-485a-a91b-83e5b7dc3496,Gestão de Atividades da Thay,,Outubro Rosa,fase,fase,14,14,Em Andamento,entrega
FAIXA-correto,0ba7fade-8510-4ba2-9f30-73e61d24864a,Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.4.2,"Tela Conquistas mostra selos e pontos (ticket 09, M)",fase,fase,9,9,Concluída,entrega
FAIXA-correto,0cb9d323-3941-4a14-adc4-b0a99a008bdc,Gestão de Processos Tasy - Oficial,1.3.2.1.1.1.2,Cadastro e importação de valores MAT MED tabela de preços,fase,fase,6,6,Em Andamento,entrega
FAIXA-correto,0d7289c3-3c1a-457f-9df1-f95514f29902,Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.8.7,Pagina publica do video leva a marca da clinica,fase,fase,2,2,Concluída,entrega
FAIXA-correto,0fb2ad25-eca3-466a-957f-9d4eaee5b6b9,Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.1.2,"Sessao, proxy e protecao de rotas (tickets 03, 06)",fase,fase,3,3,Concluída,entrega
FAIXA-correto,0fc01151-022e-4d4e-a614-63128fb0dad9,Gestão de Processos Tasy - excluir,,Função cargas,fase,fase,2,2,Em Andamento,entrega
FAIXA-correto,1184a700-26e4-4af9-8991-f02db5aec6de,Gestão de Processos Tasy - excluir,,Ajuste de prescrição,fase,fase,1,1,Em Andamento,entrega
