id,project_id,wbs_code,title,item_type_hoje,item_type_antes,is_milestone,parent_id,is_trashed
0006b2ac-0f53-4c15-a4e5-efa8e96ed84b,b9811ba7-32ba-454a-ad38-4383d7f21194,1.3.21.2,Regras e Critérios de Repasse,atividade,atividade,false,e9522093-2d3e-457c-86f2-e3d569c82929,true
0009a9f5-e98a-459a-ad2e-945f35a5d509,79e88d51-81c6-416f-9c44-628c7757703e,1.4.2.6,Executar demais adequações,atividade,atividade,false,5a7375b8-e073-4310-bf5b-bc32260f34d3,true
000e6370-6cd9-424a-a853-22d26c41664a,132dd0d3-fda8-4732-a89d-5241c9ecc3aa,,"Módulo de autenticação (login, JWT, refresh token, guard)",atividade,atividade,false,5e2d8805-d313-4d18-aaae-e17320b851a0,false
00145ed8-ed61-4f18-ac96-afde79aa77d5,b9811ba7-32ba-454a-ad38-4383d7f21194,1.3.11,Treinamento: Autorizações,fase,fase,false,e5adbce7-a198-4bfe-b0a5-eec4c9a089e2,true
0033ee1d-5838-4454-8c66-0f2041455533,79e88d51-81c6-416f-9c44-628c7757703e,9.2.5,Lançamento,fase,atividade,false,6c65ebcc-e1d4-4141-b06b-2ec49c78cc86,true
0039490f-69af-4ffe-85fd-8ec76e8ffcdf,8e050ef0-2ba5-4a54-91c3-13b436e45485,,"Executar chamado: pesquisa psicologia para pacientes de mama Enviei hoje, por whtasapp, uma pesquisa sobre interesse em grupos para a Will.",fase,fase,false,48904100-b1a8-4b86-bda5-13bb5debff62,true
003b615c-7c46-4772-bf93-3b40244639e8,b9811ba7-32ba-454a-ad38-4383d7f21194,1.3.6.2,Controle Transferências de Estoque,atividade,atividade,false,a4c82759-f5bd-449f-930f-a30c3297c51b,true
003d0a8f-f7bc-4cd4-9f36-ff02a8fd8592,8e050ef0-2ba5-4a54-91c3-13b436e45485,,Consolidar respostas e planejar follow-up,atividade,atividade,false,,true
00426cb0-44cd-4b22-abb7-1bba10a1b3cd,61007d2e-9b43-4f45-9bf6-36b982c2eeec,2.12.3,Limitar a um registro por dia,fase,atividade,false,21344b74-4c3d-4af5-b6d4-450cb2cb7349,true
004bfb57-9379-429b-a0fb-05f76f63f349,b9811ba7-32ba-454a-ad38-4383d7f21194,1.3.8,Treinamentos: Quimioterapia,fase,fase,false,,true
